business_unit_id,business_unit_name,location_name,department_name,respondents
26016,FLPEN Sacred Heart Hosp EC,Sacred Hrt Hosp Pensacola,HIM Coding Documentation 001,1
26040,FLPEN NW FL HealthPartners LLC,Seton Office Park,Administration,4
26042,FLPEN Sacred Heart Hosp PC,Bay Beachside,Freestanding ER Dept 001,1
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Administration 142,4
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Anesthesiology 001,1
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Cardiac Holding Recovery 001,6
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Cardiology Services Admin 001,3
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Cardiovascular Unit 001,29
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Case Mgmt,6
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Central Telemetry Monitor 001,7
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Computerized Tomography CT 001,7
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Diagnostic Cardiology Anc 001,2
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Diagnostic Radiology 001,8
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Emergency Department 001,43
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Emergency Services Admin 001,1
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Employee Education 001,1
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Float Staffing 001,2
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Freestanding ER Dept 001,15
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,General Lab Anc 001,1
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,General Radiology Amb 001,2
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,General Radiology Amb 002,1
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,HIM Coding Documentation 001,2
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Imaging Admin 001,2
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Infection Control 001,3
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Intensive Care Unit 001,40
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Invasive Cardiology Anc 001,15
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Magnetic Resonance Imaging 001,3
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Materials Management 001,5
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Nurse Education 002,1
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Nursing Administration 001,4
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Observation Unit 007,14
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Ortho Neuro Nrsng Unit 001,46
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Pastoral Spiritual Care 001,4
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Perioperative Care Anc 001,3
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Physical Therapy 001,7
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,PreSurgery 001,2
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Recovery Room,6
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Rehab Administration 001,1
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Rehab Services PC,2
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Respiratory Care 001,10
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Stepdown Intermediate Care 001,20
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Sterile Processing 001,7
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Surgery 001,43
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Surgical Services Admin 001,3
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Total Quality Management 001,7
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Trauma Services 001,5
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Ultrasound 001,1
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Volunteer Services 001,1
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Acute Rehab Unit 001,17
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Administration 005,2
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Bariatric Surgical Unit 001,7
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Breast Health Services 001,2
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Cardiac Cath Labs Anc 001,8
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Cardiac Holding Recovery 001,6
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Cardiovascular Unit 001,5
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Case Mgmt,11
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Computerized Tomography CT 001,1
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Critical Care Unit 001,27
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Diagnostic Cardiology Anc 002,3
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Diagnostic Radiology 001,1
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Dietary 001,1
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Emergency Department 001,37
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Endoscopy GI 001,10
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Float Staffing 001,49
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Imaging Admin 001,1
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Interventional Radiology 001,2
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,LDRPN Unit 001,43
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Lactation Center 001,3
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Magnetic Resonance Imaging 001,1
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Materials Management 001,3
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Neonatal ICU Unit 001,16
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Neurodiagnostic Lab 001,1
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Nursing Administration 001,5
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,OB Triage 001,2
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Occupational Therapy 001,7
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Orthopedics Unit 002,7
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Othr Specialty Nrsng Unit 006,8
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Pastoral Spiritual Care 001,1
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Patient Transportation 001,1
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Pharmacy Services General 001,1
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Physical Therapy 001,11
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,PreSurgery 001,8
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Rapid Deployment Team 001,5
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Recovery Rm Amb 001,22
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Rehab Administration 001,2
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Rehab Services General 001,10
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Respiratory Care 001,14
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Revenue Cycle Mgmt 002,1
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Security 001,4
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Speech Therapy 001,5
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Stepdown Intermediate Care 001,12
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Sterile Processing 001,6
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Surgery 002,21
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Surgical Services Admin 001,1
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Telemetry Nursing Unit 002,9
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Ultrasound 001,1
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Vascular Venous Access PICC,1
52005,FLJAC St Lukes Hospital,ASV Southside Hospital,Volunteer Services 001,2
52005,FLJAC St Lukes Hospital,Freestanding ER Arlington,Freestanding ER Dept 001,22
52005,FLJAC St Lukes Hospital,WV - Morgantown - Offsite,Rehab Administration 001,1
52006,FLJAC St Vincents Hlth System,ASV Clay County Hospital,Total Quality Management 002,1
52006,FLJAC St Vincents Hlth System,ASV Riverside - Dillon Bldg,Telecom Switchboard 001,3
52006,FLJAC St Vincents Hlth System,ASV Riverside Hospital,Administration 001,1
