business_unit_id,location_name,department_name,respondents,dominant_ahca_wa,wa_matched_respondents
52009,ASV Riverside Hospital,Electrophysiology Lab Anc 001,3,5,3
52009,ASV Riverside Hospital,Emergency Department 001,38,6,38
52009,ASV Riverside Hospital,Endoscopy GI 001,4,17,4
52009,ASV Riverside Hospital,Float Staffing 001,8,8,8
52009,ASV Riverside Hospital,IP Wound Care 001,1,34,1
52009,ASV Riverside Hospital,Imaging Admin 001,1,21,1
52009,ASV Riverside Hospital,Infusion Ambulatory 001,2,18,2
52009,ASV Riverside Hospital,Lab Hematology Anc 001,1,19,1
52009,ASV Riverside Hospital,Lab Outreach Amb 001,1,19,1
52009,ASV Riverside Hospital,Lab Support Services 003,1,19,1
52009,ASV Riverside Hospital,Magnetic Resonance Imaging 001,2,21,2
52009,ASV Riverside Hospital,Mammography 001,1,21,1
52009,ASV Riverside Hospital,Materials Management 001,3,34,3
52009,ASV Riverside Hospital,Medical Surgical,26,2,26
52009,ASV Riverside Hospital,Nursing Administration 001,2,1,2
52009,ASV Riverside Hospital,Nursing Surgical Unit 001,10,2,10
52009,ASV Riverside Hospital,OP Therapy,1,14,1
52009,ASV Riverside Hospital,Observation Unit 002,9,6,9
52009,ASV Riverside Hospital,Occupational Therapy 001,9,14,9
52009,ASV Riverside Hospital,Pastoral Spiritual Care 001,5,1,5
52009,ASV Riverside Hospital,Patient Transportation 001,4,33,4
52009,ASV Riverside Hospital,Pharmacy Services General 001,5,20,5
52009,ASV Riverside Hospital,Physical Therapy 001,18,1,18
52009,ASV Riverside Hospital,Physician Support Services 001,1,24,1
52009,ASV Riverside Hospital,PreSurgery 001,16,18,16
52009,ASV Riverside Hospital,Pulmonary Diagnostics 001,1,34,1
52009,ASV Riverside Hospital,Rapid Deployment Team 001,2,1,2
52009,ASV Riverside Hospital,Recovery Rm Amb 001,10,18,10
52009,ASV Riverside Hospital,Research Administration 001,4,34,4
52009,ASV Riverside Hospital,Research Cardiology Series 001,1,34,1
52009,ASV Riverside Hospital,Residents Pharmacy 001,1,20,1
52009,ASV Riverside Hospital,Respiratory Care 001,17,1,17
52009,ASV Riverside Hospital,Revenue Cycle Mgmt 002,1,34,1
52009,ASV Riverside Hospital,SURGERY CENTER,26,18,26
52009,ASV Riverside Hospital,Security 001,15,32,15
52009,ASV Riverside Hospital,Speech Therapy 001,5,1,5
52009,ASV Riverside Hospital,Stepdown Intermediate Care 001,14,5,14
52009,ASV Riverside Hospital,Sterile Processing 001,32,34,32
52009,ASV Riverside Hospital,Surgery 002,68,18,68
52009,ASV Riverside Hospital,Surgical Oncology,13,10,13
52009,ASV Riverside Hospital,Surgical Services Admin 001,3,18,3
52009,ASV Riverside Hospital,Telemetry Unit 002,26,15,26
52009,ASV Riverside Hospital,Telemetry Unit 003,44,5,44
52009,ASV Riverside Hospital,Ultrasound 001,3,21,3
52009,ASV Riverside Hospital,Vascular Venous Access PICC,1,4,1
52009,Freestanding ER Collins,Freestanding ER Dept 001,31,6,31
52009,Optimal Imaging - Riverside,Diagnostic Radiology Amb 002,5,21,5
52009,SV Health Center Mandarin,Diagnostic Radiology Amb 002,1,29,1
52009,SV Health Center St. Johns,Diagnostic Radiology Amb 002,1,21,1
52012,ASV Clay County Hospital,2W Medical,37,2,37
52012,ASV Clay County Hospital,Administration 005,3,24,3
52012,ASV Clay County Hospital,Breast Health Services 001,2,21,2
52012,ASV Clay County Hospital,Cardiac Cath Labs Anc 001,16,5,16
52012,ASV Clay County Hospital,Cardiac Holding Recovery 001,11,5,11
52012,ASV Clay County Hospital,Cardiac Nuclear Med Amb 001,1,21,1
52012,ASV Clay County Hospital,Case Mgmt,15,23,15
52012,ASV Clay County Hospital,Computerized Tomography CT 001,4,21,4
52012,ASV Clay County Hospital,Diabetes Education,1,1,1
52012,ASV Clay County Hospital,Diagnostic Cardiology Anc 001,5,5,5
52012,ASV Clay County Hospital,Diagnostic Radiology 001,7,21,7
52012,ASV Clay County Hospital,Emergency Department 001,40,6,40
52012,ASV Clay County Hospital,Endoscopy GI 001,6,17,6
52012,ASV Clay County Hospital,IP Wound Care 001,1,1,1
52012,ASV Clay County Hospital,LDRPN Unit 001,45,9,45
52012,ASV Clay County Hospital,Lactation Center 001,1,9,1
52012,ASV Clay County Hospital,MICU,23,8,23
52012,ASV Clay County Hospital,Magnetic Resonance Imaging 001,2,21,2
52012,ASV Clay County Hospital,Materials Management 001,6,34,6
52012,ASV Clay County Hospital,Neonatal ICU Unit 001,12,11,12
52012,ASV Clay County Hospital,Nuclear Medicine 001,1,21,1
52012,ASV Clay County Hospital,Nursing Administration,8,1,8
52012,ASV Clay County Hospital,Nursing Unit 001,40,2,40
52012,ASV Clay County Hospital,OB Triage 001,5,9,5
52012,ASV Clay County Hospital,Occupational Therapy 001,6,14,6
52012,ASV Clay County Hospital,Orthopedics Unit 001,49,2,49
52012,ASV Clay County Hospital,Pastoral Spiritual Care 001,2,15,2
52012,ASV Clay County Hospital,Patient Transportation 001,6,21,6
52012,ASV Clay County Hospital,Pharmacy Services General 001,2,6,2
52012,ASV Clay County Hospital,Physical Therapy 001,11,14,11
52012,ASV Clay County Hospital,Physician Support Services 001,1,24,1
52012,ASV Clay County Hospital,PreSurgery 001,5,18,5
52012,ASV Clay County Hospital,Rapid Deployment Team 001,2,1,2
52012,ASV Clay County Hospital,Recovery Rm Amb 001,29,18,29
52012,ASV Clay County Hospital,Respiratory Care 001,18,1,18
52012,ASV Clay County Hospital,Security 001,9,32,9
52012,ASV Clay County Hospital,Speech Therapy 001,2,15,2
52012,ASV Clay County Hospital,Stepdown Intermediate Care 001,17,8,17
52012,ASV Clay County Hospital,Sterile Processing 001,2,4,2
52012,ASV Clay County Hospital,Surgery 002,30,18,30
52012,ASV Clay County Hospital,Surgical Services Admin 001,1,,0
52012,ASV Clay County Hospital,Ultrasound 001,2,21,2
52012,ASV Clay County Hospital,Vascular Venous Access PICC,1,6,1
52012,ASV Clay County Hospital,Volunteer Services 001,1,24,1
52012,Optimal Imaging - Middleburg,Diagnostic Radiology Amb 002,2,21,2
52015,ASV St. Johns County,Administration 142,2,24,2
52015,ASV St. Johns County,Breast Health Services 001,2,21,2
52015,ASV St. Johns County,Case Mgmt,3,1,3
52015,ASV St. Johns County,Computerized Tomography CT 001,7,21,7
