business_unit_id,business_unit_name,location_name,department_name,respondents,dominant_ahca_wa,wa_label,domain_code,wa_purity,distinct_wa_codes
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Med Surg Unit,33,2,"Med/Surg, Other Pt. Care Units",MSRG,70%,2:23 4:9 3:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Monitor Room 001,1,15,Telemetry,TELE,100%,15:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Mother Baby Unit 001,15,9,Labor & Deliv/Ob,,93%,9:14 2:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Neonatal ICU Unit 001,18,11,"Peds, NICU, PICU",PEDS,94%,11:17 34:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Nuclear Medicine 001,1,21,Radiology/ Imaging,RADI,100%,21:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Nursing Administration,5,24,Admin/Mgmt,ADMN,60%,24:3 1:1 34:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Observation Unit 001,7,6,ED/Short Stay,EDPT,71%,6:5 2:1 3:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Other Pat Services Anc 001,4,34,Other,,100%,34:4
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Pastoral Care Spiritual Care,2,1,"Many Different Hospital Units, No Specific Unit",,50%,1:1 34:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Patient Access Admitting 002,5,9,Labor & Deliv/Ob,,80%,9:4 29:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Patient Education,1,34,Other,,100%,34:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Patient Education 002,2,9,Labor & Deliv/Ob,,100%,9:2
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Physical Therapy,6,1,"Many Different Hospital Units, No Specific Unit",,83%,1:5 14:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,PositronEmissionTomography PET,1,21,Radiology/ Imaging,RADI,100%,21:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Pre Surgery,12,18,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",,92%,18:11 3:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Recovery Room,24,18,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",,100%,18:24
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Rehab Administration 001,1,14,Rehab/Phys Med,REHB,100%,14:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Rehab Services Ambulatory 001,1,1,"Many Different Hospital Units, No Specific Unit",,100%,1:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Respiratory Care 001,8,1,"Many Different Hospital Units, No Specific Unit",,50%,1:4 22:3 8:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Sterile Processing 001,5,18,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",,80%,18:4 34:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Surgery,40,18,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",,68%,18:27 4:8 17:2 2:2 34:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Surgical Services Admin 001,5,18,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",,60%,18:3 25:1 34:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Total Quality Management,5,28,"Quality, Risk Management, PAtient Safety",,80%,28:4 24:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Ultrasound,11,21,Radiology/ Imaging,RADI,91%,21:10 1:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Wound Care 001,1,1,"Many Different Hospital Units, No Specific Unit",,100%,1:1
26016,FLPEN Sacred Heart Hosp EC,SHH PanamaCty BayMedical,Infection Control,1,1,"Many Different Hospital Units, No Specific Unit",,100%,1:1
26016,FLPEN Sacred Heart Hosp EC,Sacred Hrt Hosp Pensacola,HIM Coding Documentation 001,1,1,"Many Different Hospital Units, No Specific Unit",,100%,1:1
26042,FLPEN Sacred Heart Hosp PC,Bay Beachside,Freestanding ER Dept 001,1,6,ED/Short Stay,EDPT,100%,6:1
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Administration 142,4,24,Admin/Mgmt,ADMN,50%,24:2 1:1 28:1
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Anesthesiology 001,1,18,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",,100%,18:1
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Cardiac Holding Recovery 001,6,34,Other,,83%,34:5 5:1
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Cardiology Services Admin 001,3,34,Other,,33%,34:1 5:1 1:1
26042,FLPEN Sacred Heart Hosp PC,SHH PanamaCty BayMedical,Cardiovascular Unit 001,29,5,Unknown,CARD,55%,5:16 2:10 15:2 4:1
